img,model_name,price,rating,specs_score,generation,core_and_thread,ram,rom,graphic_card,size_and_resolution,os,warranty
https://cdn1.smartprix.com/rx-i80uYZKoA-w280-h280/apple-macbook-pro-16.webp,Apple MacBook Pro 16 Laptop (Apple M4 Pro/ 48GB/ 512GB SSD/ macOS),"₹2,79,990",4.35,64Spec Score,Apple M4 Pro,14 Cores (10P + 4E),48 GB RAM,512 GB SSD,20 Core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-irHABiO29-w280-h280/apple-macbook-pro-16.webp,Apple MacBook Pro 16 2024 Laptop (Apple M4 Pro/ 24GB/ 512GB SSD/ macOS),"₹2,39,990",4.0,60Spec Score,Apple M4 Pro,14 Cores (10P + 4E),24 GB RAM,512 GB SSD,20 Core GPU,"16.2 inches, 3456 x 2234 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-icn5wUJpZ-w280-h280/apple-macbook-pro-14.webp,Apple MacBook Pro 14 Laptop (Apple M4/ 24GB/ 1TB SSD/ macOS),"₹2,01,990",4.75,59Spec Score,Apple M4,10 Cores (4P + 6E),24 GB RAM,1 TB SSD,10 Core GPU,"14.2 inches, 3024 x 1964 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iBBZ9nHbC-w280-h280/apple-macbook-pro-14.webp,Apple MacBook Pro 14 Laptop (Apple M4 MAX/ 36GB/1TB SSD/ macOS/ 32-Core GPU),"₹3,09,990",4.75,63Spec Score,Apple M4 Max,14 Cores (10P + 4E),36 GB RAM,1 TB SSD,32 Core GPU,"14.2 inches, 3024 x 1964 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iBBZ9nHbC-w280-h280/apple-macbook-pro-14.webp,Apple MacBook Pro 14 Laptop (Apple M4 Pro/ 24GB/ 512GB SSD/ macOS),"₹1,89,900",4.75,57Spec Score,Apple M4 Pro,12 Cores (8P + 4E),24 GB RAM,512 GB SSD,16 Core GPU,"14.2 inches, 3024 x 1964 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iBBZ9nHbC-w280-h280/apple-macbook-pro-14.webp,Apple MacBook Pro 14 Laptop (Apple M4 Pro/ 24GB/ 1TB SSD/ macOS/ 20-Core GPU),"₹2,29,990",4.05,60Spec Score,Apple M4 Pro,14 Cores (10P + 4E),24 GB RAM,1 TB SSD,20 Core GPU,"14.2 inches, 3024 x 1964 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iNxTKTppm-w280-h280/acer-aspire-lite-al1.webp,Acer Aspire Lite AL15-53 UN.34ESI.00D Gaming Laptop (Intel Core i3 1305U / 16GB/ 512GB SSD/ Win11),"₹34,990",4.1,54Spec Score,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-ihJN8haz7-w280-h280/msi-stealth-16-ai-pl.webp,MSI Stealth 16 AI Plus A3HVGG-074IN Gaming Laptop (AMD Ryzen AI 9 365/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),"₹1,99,990",4.4,79Spec Score,AMD Ryzen AI 9 365,"10 Cores (4P + 6E), 20 Threads",32 GB LPDDR5x RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4070,"16 inches, 2560 x 1600 pixels",Windows 11 OS,2 Year Warranty
https://cdn1.smartprix.com/rx-infbdfyXR-w280-h280/hp-victus-15-fa1346t.webp,HP Victus 15-fa1346TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ RTX 2050),"₹63,990",4.7,57Spec Score,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iMNJjrVHa-w280-h280/hp-zbook-firefly-16.webp,HP ZBook Firefly 16 G10 8F6J8PA Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ RTX A500 4GB Graphics),"₹88,999",4.0,62Spec Score,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA RTX A500,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
