Laptop_Brand,OS,CPU_Power,Generation,RAM_size,RAM_technology,Capacity(in GB),Storage_Type,GPU_Brand,GPU_Type,Touch_Screen,screen_size_category,Display_quality,warranty_group,Performance per price
Apple,Mac ,,Apple M4,16.0,RAM,512,SSD,Apple,Integrated,0,Small,High Resolution,low,0.0004159660146915656
Acer,Windows 11 ,4.0,Intel Celeron,8.0,DDR4,128,SSD,Intel,Integrated,0,Small,Standard HD,low,0.0024615754082612873
Acer,Windows 11 ,384.0,14th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007601259637311326
Samsung,Windows 11 ,,Qualcomm Snapdragon,16.0,LPDDR5X,512,SSD,Qualcomm,Integrated,1,Medium,Standard HD,low,0.0007231881827973535
Apple,Mac ,,Apple M2,16.0,UNIFIED,256,SSD,Unknown,Dedicated,0,Small,High Resolution,low,0.0005185825410544512
Lenovo,Windows 11 ,48.0,13th Gen,8.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010955710955710956
Lenovo,Windows 11 ,72.0,5th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0011578947368421054
Infinix,Windows 11 ,72.0,5th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.002000645369474024
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.000867774672745992
Asus,Windows 11 ,128.0,7th Gen,16.0,RAM,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0011226780975709329
Lenovo,Windows 11 ,96.0,13th Gen,16.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0007482993197278912
HP,Windows 11 ,384.0,14th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0006260434056761269
Infinix,Windows 11 ,128.0,5th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.001879357381024553
HP,Windows 11 ,160.0,13th Gen,24.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0006667301647775979
HP,Windows 11 ,160.0,Intel Core,24.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.00047216937878933034
Asus,Windows 11 ,384.0,14th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.0005000312519532471
HP,Windows 11 ,,Qualcomm Snapdragon,16.0,LPDDR5X,512,SSD,Qualcomm,Integrated,1,Medium,Full HD,low,0.0007501103103397559
MSI,Windows 11 ,512.0,8th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Large,Full HD,high,0.00044446913717428746
Acer,Windows 11 ,576.0,Intel Core Ultra,32.0,LPDDR5X,2048,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00037391466919421386
HP,Windows 11 ,120.0,13th Gen,32.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0008577036633843007
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009704179057755517
ASUS,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,1,Medium,Full HD,low,0.0009684076837593268
Asus,Windows 11 ,48.0,13th Gen,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0014253563390847711
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010557510650120393
Lenovo,Windows 11 ,160.0,13th Gen,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0008309412297930201
Asus,Windows 11 ,128.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007790293715127908
Acer,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009842832195586602
Dell,Windows 11 ,72.0,7th Gen,16.0,RAM,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0012095836240986276
Lenovo,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.000880117348979864
HP,Windows 11 ,384.0,14th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0006583881990165847
Apple,Mac ,,Apple M4,36.0,RAM,1024,SSD,Unknown,Dedicated,0,Large,High Resolution,low,0.00018576736210345812
Lenovo,Windows 11 ,128.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0011714770797962648
Acer,Windows 11 ,160.0,14th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007556395155017224
Thomson,Windows 11 ,48.0,12th Gen,8.0,LPDDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.002135231316725979
Acer,Windows 11 ,72.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.001046314817664256
Lenovo,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007728150926241619
Asus,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.00071007100710071
Asus,Windows 11 ,280.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0011456628477905073
HP,Chrome ,,MediaTek Kompanio,4.0,LPDDR4X,32,eMMC Storage,ARM,Integrated,0,Small,Standard HD,low,
Samsung,Windows 11 ,120.0,Intel Core,16.0,LPDDR4X,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0011046394858405303
Asus,Windows 11 ,192.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0010924757655023849
Acer,Windows 11 ,96.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0011638479723586107
Acer,Windows 11 ,192.0,13th Gen,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0010418837257762034
Samsung,Windows 11 ,,Intel Core Ultra,16.0,LPDDR5X,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0007159904534606205
