Img,Name,Price,Rating(out of 5),Specs_Score(out of 100),OS,Core,Thread,Screen_Size(in inches),Screen_Resolution(in pixels),Touch_Screen,warranty(in years),RAM_size,RAM_technology,GPU_Brand,GPU_Model,GPU_VRAM,GPU_Type,Capacity,Storage_Type,Generation,Brand,Family,Model
https://cdn1.smartprix.com/rx-iz7q0ZTqc-w280-h280/hp-15-fc0154au-lapto.webp,HP 15-fc0154AU ,30990,4.7,55,Windows 11 ,4.0,8.0,15.6 , 1920 x 1080 ,0,1,8 ,DDR5,AMD,Radeon,Shared/Unknown,Dedicated,512 GB,SSD,7th Gen,AMD,Ryzen 3,7320U
https://cdn1.smartprix.com/rx-iizWzm3cu-w280-h280/acer-aspire-7-a715-7.webp,Acer Aspire 7 A715-79G UN.34PSI.001 Gaming ,62490,4.7,64,Windows 11 ,8.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR4,NVIDIA,GeForce RTX 3050,6 GB,Dedicated,512 GB,SSD,13th Gen,Intel,Core i5,13420H
https://cdn1.smartprix.com/rx-igR1TJ28v-w280-h280/hp-victus-16-s0089ax.webp,HP Victus 16-s0089AX Gaming ,74815,4.1,73,Windows 11 ,8.0,16.0,16.1 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 3050,6 GB,Dedicated,1 TB,SSD,7th Gen,AMD,Ryzen 7,7840HS
https://cdn1.smartprix.com/rx-ioXEIfxVI-w280-h280/acer-one-14-z8-415-l.webp,Acer One 14 Z8-415 ,29990,4.05,54,Windows 11 ,2.0,4.0,14 , 1920 x 1080 ,0,1,8 ,DDR4,Intel,Iris Xe Graphics,Shared/Unknown,Integrated,512 GB,SSD,11th Gen,Intel,Core i3,1115G4
https://cdn1.smartprix.com/rx-iWDENBm1h-w280-h280/lenovo-ideapad-slim.webp,Lenovo IdeaPad Slim 3 15IAH8 83ER00MDIN ,48999,4.6,59,Windows 11 ,8.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,LPDDR5,Intel,Integrated UHD Graphics,Shared/Unknown,Integrated,512 GB,SSD,12th Gen,Intel,Core i5,12450H
https://cdn1.smartprix.com/rx-iore8dwi8-w280-h280/gigabyte-g6-kf-h3in8.webp,Gigabyte G6 KF-H3IN894KH ,78990,4.3,65,Windows 11 ,10.0,16.0,16 , 1920 x 1200 ,0,2,16 ,DDR5,NVIDIA,GeForce RTX 4060,8 GB,Dedicated,1 TB,SSD,13th Gen,Intel,Core i7,13620H
https://cdn1.smartprix.com/rx-iQYVJQpHa-w280-h280/asus-vivobook-go-15.webp,Asus Vivobook Go 15 E510KAB-BR1125WS ,23990,4.3,47,Windows 11 ,2.0,2.0,15.6 , 1366 x 768 ,0,1,8 ,DDR4,Intel,Integrated UHD,Shared/Unknown,Integrated,512 GB,SSD,Intel Celeron,Intel,,N4500
https://cdn1.smartprix.com/rx-ix4Q8O8Xz-w280-h280/hp-14-ep0385tu-lapto.webp,HP 14-ep0385TU ,59900,4.6,45,Windows 11 ,10.0,12.0,14 , 1920 x 1080 ,0,1,16 ,RAM,Unknown,Inte Graphics,Shared/Unknown,Dedicated,512 GB,SSD,Intel Core,Intel,,120U
https://cdn1.smartprix.com/rx-igmHFinXw-w280-h280/asus-expertbook-p1-1.webp,Asus Expertbook P1 14 P1403CVA-S60938WS ,39990,4.75,60,Windows 11 ,6.0,8.0,14 , 1920 x 1080 ,0,1,16 ,DDR5,Intel,Integrated UHD,Shared/Unknown,Integrated,512 GB,SSD,13th Gen,Intel,Core i3,1315U
https://cdn1.smartprix.com/rx-ietbDRCeQ-w280-h280/lenovo-loq-2024-83gs.webp,Lenovo LOQ 2024 83GS003NIN Gaming ,66990,4.65,65,Windows 11 ,8.0,12.0,15.6 , 1920 x 1080 ,0,1,16 ,DDR5,NVIDIA,GeForce RTX 3050,6 GB,Dedicated,512 GB,SSD,12th Gen,Intel,Core i5,12450HX
